image,tag,package,installed_version,fix_available_at,max_severity,cve_ids
scheduler-service,1.0.358,glob,10.4.5,"11.1.0, 10.5.0",HIGH,CVE-2025-64756
scheduler-service,1.0.358,http-cache-semantics,4.1.0,4.1.1,HIGH,CVE-2022-25881
scheduler-service,1.0.358,ip-address,9.0.5,10.3.1,HIGH,CVE-2026-69192
scheduler-service,1.0.358,jws,3.2.2,"3.2.3, 4.0.1",HIGH,CVE-2025-65945
scheduler-service,1.0.358,koa,2.16.1,"3.1.2, 2.16.4",HIGH,CVE-2026-27959
scheduler-service,1.0.358,minimatch,3.1.2,"10.2.1, 9.0.6, 8.0.5, 7.4.7, 6.2.1, 5.1.7, 4.2.4, 3.1.3",HIGH,CVE-2026-26996
scheduler-service,1.0.358,minimatch,3.1.2,"10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.3",HIGH,CVE-2026-27903
scheduler-service,1.0.358,minimatch,3.1.2,"10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.4",HIGH,CVE-2026-27904
scheduler-service,1.0.358,minimatch,5.1.6,"10.2.1, 9.0.6, 8.0.5, 7.4.7, 6.2.1, 5.1.7, 4.2.4, 3.1.3",HIGH,CVE-2026-26996
scheduler-service,1.0.358,minimatch,5.1.6,"10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.3",HIGH,CVE-2026-27903
scheduler-service,1.0.358,minimatch,5.1.6,"10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.4",HIGH,CVE-2026-27904
scheduler-service,1.0.358,minimatch,9.0.5,"10.2.1, 9.0.6, 8.0.5, 7.4.7, 6.2.1, 5.1.7, 4.2.4, 3.1.3",HIGH,CVE-2026-26996
scheduler-service,1.0.358,minimatch,9.0.5,"10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.3",HIGH,CVE-2026-27903
scheduler-service,1.0.358,minimatch,9.0.5,"10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.4",HIGH,CVE-2026-27904
scheduler-service,1.0.358,path-to-regexp,6.2.1,"1.9.0, 0.1.10, 8.0.0, 3.3.0, 6.3.0",HIGH,CVE-2024-45296
scheduler-service,1.0.358,protobufjs,7.4.0,"7.5.6, 8.0.2",HIGH,CVE-2026-44288;CVE-2026-44289;CVE-2026-44290;CVE-2026-44291;CVE-2026-44292;CVE-2026-44293;CVE-2026-44294
scheduler-service,1.0.358,protobufjs,7.4.0,"7.6.1, 8.4.1",HIGH,CVE-2026-48712
scheduler-service,1.0.358,sigstore,3.0.0,4.1.1,HIGH,CVE-2026-48815
scheduler-service,1.0.358,tar,6.1.13,7.5.3,HIGH,CVE-2026-23745
scheduler-service,1.0.358,tar,6.1.13,7.5.4,HIGH,CVE-2026-23950
scheduler-service,1.0.358,tar,6.1.13,7.5.7,HIGH,CVE-2026-24842
scheduler-service,1.0.358,tar,6.1.13,7.5.8,HIGH,CVE-2026-26960
scheduler-service,1.0.358,tar,6.1.13,7.5.10,HIGH,CVE-2026-29786
scheduler-service,1.0.358,tar,6.1.13,7.5.11,HIGH,CVE-2026-31802
scheduler-service,1.0.358,tar,6.1.13,7.5.18,HIGH,CVE-2026-59871;CVE-2026-59874
scheduler-service,1.0.358,tar,6.2.1,7.5.3,HIGH,CVE-2026-23745
scheduler-service,1.0.358,tar,6.2.1,7.5.4,HIGH,CVE-2026-23950
scheduler-service,1.0.358,tar,6.2.1,7.5.7,HIGH,CVE-2026-24842
scheduler-service,1.0.358,tar,6.2.1,7.5.8,HIGH,CVE-2026-26960
scheduler-service,1.0.358,tar,6.2.1,7.5.10,HIGH,CVE-2026-29786
scheduler-service,1.0.358,tar,6.2.1,7.5.11,HIGH,CVE-2026-31802
scheduler-service,1.0.358,tar,6.2.1,7.5.18,HIGH,CVE-2026-59871;CVE-2026-59874
scheduler-service,1.0.358,tar,7.4.3,7.5.3,HIGH,CVE-2026-23745
scheduler-service,1.0.358,tar,7.4.3,7.5.4,HIGH,CVE-2026-23950
scheduler-service,1.0.358,tar,7.4.3,7.5.7,HIGH,CVE-2026-24842
scheduler-service,1.0.358,tar,7.4.3,7.5.8,HIGH,CVE-2026-26960
